Bundling 6%
Bundling 11%
Bundling 17%
Bundling 28%
Bundling 65%
Bundling 71%
Bundling 76%
Bundling 81%
Bundling 87%
Bundling 92%
Bundling 98%
Bundling 100%
Bundling 100%
Bundling 100%
Getting composition
Composition          ComponentShowcase
Codec                h264
Output               out/series/collapse-ecosystems.mp4
Concurrency          2x
Rendered 0/1310
Rendered 1/1310, time remaining: 18m 30s
Rendered 2/1310, time remaining: 10m 31s
Rendered 3/1310, time remaining: 9m 44s
Rendered 4/1310, time remaining: 9m 1s
Rendered 5/1310, time remaining: 9m 5s
Rendered 6/1310, time remaining: 7m 39s
Rendered 7/1310, time remaining: 7m 32s
Rendered 8/1310, time remaining: 8m 22s
Rendered 9/1310, time remaining: 7m 31s
Rendered 10/1310, time remaining: 8m 43s
Rendered 11/1310, time remaining: 8m 17s
Rendered 12/1310, time remaining: 8m 36s
Rendered 13/1310, time remaining: 7m 57s
Rendered 14/1310, time remaining: 8m 24s
Rendered 15/1310, time remaining: 7m 53s
Rendered 16/1310, time remaining: 8m 22s
Rendered 17/1310, time remaining: 7m 54s
Rendered 18/1310, time remaining: 8m 6s
Rendered 19/1310, time remaining: 7m 55s
Rendered 20/1310, time remaining: 8m 22s
Rendered 21/1310, time remaining: 8m 1s
Rendered 22/1310, time remaining: 8m 11s
Rendered 23/1310, time remaining: 8m 8s
Rendered 24/1310, time remaining: 8m 27s
Rendered 25/1310, time remaining: 8m 7s
Rendered 26/1310, time remaining: 8m 26s
Rendered 27/1310, time remaining: 8m 8s
Rendered 28/1310, time remaining: 8m 21s
Rendered 29/1310, time remaining: 8m 5s
Rendered 30/1310, time remaining: 8m 2s
Rendered 31/1310, time remaining: 8m 12s
Rendered 32/1310, time remaining: 8m 10s
Rendered 33/1310, time remaining: 8m 29s
Rendered 34/1310, time remaining: 8m 15s
Rendered 35/1310, time remaining: 8m 18s
Rendered 36/1310, time remaining: 8m 19s
Rendered 37/1310, time remaining: 8m 23s
Rendered 38/1310, time remaining: 8m 15s
Rendered 39/1310, time remaining: 8m 21s
Rendered 40/1310, time remaining: 8m 18s
Rendered 41/1310, time remaining: 8m 24s
Rendered 42/1310, time remaining: 8m 21s
Rendered 43/1310, time remaining: 8m 32s
Rendered 44/1310, time remaining: 8m 29s
Rendered 45/1310, time remaining: 8m 23s
Rendered 46/1310, time remaining: 8m 32s
Rendered 47/1310, time remaining: 8m 22s
Rendered 48/1310, time remaining: 8m 27s
Rendered 49/1310, time remaining: 8m 20s
Rendered 50/1310, time remaining: 8m 17s
Rendered 51/1310, time remaining: 8m 30s
Rendered 52/1310, time remaining: 8m 21s
Rendered 53/1310, time remaining: 8m 27s
Rendered 54/1310, time remaining: 8m 18s
Rendered 55/1310, time remaining: 8m 17s
Rendered 56/1310, time remaining: 8m 21s
Rendered 57/1310, time remaining: 8m 12s
Rendered 58/1310, time remaining: 8m 13s
